식품명	1회제공량
갓치킨L(바삭한 크런치)	136
갓치킨L(쫄깃한 클래식)	145
순삭포테이토L(바삭한 크런치)	154
순삭포테이토L(쫄깃한 클래식)	125
케미콤보(쫄깃한 클래식)	129
케미콤보(바삭한 크런치)	129
폭폭치즈L(쫄깃한 클래식)	158
폭폭치즈L(바삭한 크런치)	121
얌얌페페로니L(쫄깃한 클래식)	140
얌얌페페로니L(바삭한 크런치)	106
씨푸드아일랜드 노엣지 R	106
씨푸드아일랜드 해쉬브라운R	121
씨푸드아일랜드 골드R	120
씨푸드아일랜드 크림치즈R	123
씨푸드아일랜드 에그타르트R	120
씨푸드아일랜드 치즈캡 R	118
씨푸드아일랜드 노엣지 L	133
씨푸드아일랜드 해쉬브라운 L	151
씨푸드아일랜드 골드L	149
씨푸드아일랜드 크림치즈 L	154
씨푸드아일랜드 에그타르트 L	149
씨푸드아일랜드 치즈캡 L	145
제주흑도새기 노엣지 R	195
제주흑도새기 해쉬브라운R	113
제주흑도새기 골드R	111
제주흑도새기 크림치즈R	115
제주흑도새기 에그타르트R	111
제주흑도새기 치즈캡 R	109
제주흑도새기 노엣지 L	126
제주흑도새기 해쉬브라운 L	145
제주흑도새기 골드L	143
제주흑도새기 크림치즈 L	147
제주흑도새기 에그타르트 L	143
제주흑도새기 치즈캡 L	139
치즈블라썸 스테이크 노엣지 R	193
치즈블라썸 스테이크 해쉬브라운R	112
치즈블라썸 스테이크 골드R	110
치즈블라썸 스테이크 크림치즈R	113
치즈블라썸 스테이크 에그타르트R	110
치즈블라썸 스테이크 치즈캡 R	113
치즈블라썸 스테이크 노엣지 L	122
치즈블라썸 스테이크 해쉬브라운 L	140
치즈블라썸 스테이크 골드L	134
치즈블라썸 스테이크 크림치즈 L	138
치즈블라썸 스테이크 에그타르트 L	134
치즈블라썸 스테이크 치즈캡 L	130
새우천왕 노엣지(오리진)R	176
새우천왕 치즈캡R	200
새우천왕 해쉬브라운R	103
새우천왕 에그타르트R	102
새우천왕 골드R	102
새우천왕 크림치즈R	105
새우천왕 노엣지(오리진)L	111
새우천왕 치즈캡L	123
새우천왕 해쉬브라운L	129
새우천왕 에그타르트L	128
새우천왕 골드L	128
새우천왕 크림치즈L	132
치우천왕 오리진R	178
치우천왕 치즈캡R	179
치우천왕 해쉬브라운R	185
치우천왕 에그타르트R	182
치우천왕 골드R	182
치우천왕 크림치즈R	189
치우천왕 노엣지L	104
치우천왕 치즈캡L	116
치우천왕 해쉬브라운L	122
치우천왕 에그타르트L	120
치우천왕 골드L	120
치우천왕 크림치즈L	125
트레비앙 해쉬브라운R	188
트레비앙 에그타르트R	184
트레비앙 오리진R	157
트레비앙 골드R	184
트레비앙 크림치즈R	191
트레비앙 치즈캡R	181
트레비앙 해쉬브라운L	126
트레비앙 에그타르트L	124
트레비앙 오리진L	108
트레비앙 골드L	124
트레비앙 크림치즈L	129
트레비앙 치즈캡L	120
러블리피스 해쉬브라운R	197
러블리피스 에그타르트R	193
러블리피스 오리진R	166
러블리피스 골드R	193
러블리피스 크림치즈R	100
러블리피스 치즈캡R	190
러블리피스 해쉬브라운L	119
러블리피스 에그타르트L	117
러블리피스 오리진L	101
러블리피스 골드L	117
러블리피스 크림치즈L	121
러블리피스 치즈캡L	113
스윗피스 해쉬브라운R	185
스윗피스 에그타르트R	182
스윗피스 오리진R	155
스윗피스 골드R	182
스윗피스 크림치즈R	189
스윗피스 치즈캡R	179
스윗피스 해쉬브라운L	123
스윗피스 에그타르트L	121
스윗피스 오리진L	105
스윗피스 골드L	121
스윗피스 크림치즈L	125
스윗피스 치즈캡L	117
로맨틱콤보 해쉬브라운R	191
로맨틱콤보 에그타르트R	188
로맨틱콤보 오리진R	160
로맨틱콤보 골드R	188
로맨틱콤보 크림치즈R	195
로맨틱콤보 치즈캡R	184
로맨틱콤보 해쉬브라운L	121
로맨틱콤보 에그타르트L	119
로맨틱콤보 오리진L	103
로맨틱콤보 골드L	119
로맨틱콤보 크림치즈L	123
로맨틱콤보 치즈캡L	115
포테이토 해쉬브라운R	180
포테이토 에그타르트R	177
포테이토 골드R	177
포테이토 크림치즈R	184
포테이토 해쉬브라운L	122
포테이토 에그타르트L	120
포테이토 골드L	120
포테이토 크림치즈L	125
쉬림프 해쉬브라운R	191
쉬림프 에그타르트R	187
쉬림프 오리진R	160
쉬림프 골드R	187
쉬림프 크림치즈R	194
쉬림프 치즈캡R	184
쉬림프 해쉬브라운L	120
쉬림프 에그타르트L	118
쉬림프 오리진L	102
쉬림프 골드L	118
쉬림프 크림치즈L	123
쉬림프 치즈캡L	114
하프앤하프 해쉬브라운R	185
하프앤하프 에그타르트R	182
하프앤하프 골드R	182
하프앤하프 크림치즈R	189
하프앤하프 해쉬브라운L	121
하프앤하프 에그타르트L	119
하프앤하프 골드L	119
하프앤하프 크림치즈L	124
풀드포크 오리진R	157
풀드포크 오리진L	102
칠리치킨 오리진R	164
칠리치킨 오리진L	101
올댓미트 오리진R	144
올댓미트 오리진L	167
트러플머쉬룸 오리진R	149
트러플머쉬룸 오리진L	189
부라타치즈 오리진R	139
부라타치즈 오리진L	174
찰떡단고감 노엣지R	104
찰떡단고감 노엣지L	124
핫앤핫 노엣지R	172
핫앤핫 노엣지L	114
불고기 오리진R	131
불고기 치즈캡R	155
불고기 오리진L	150
불고기 치즈캡L	174
슈퍼콤보 오리진R	165
슈퍼콤보 패스츄리	166
슈퍼콤보 치즈캡R	189
슈퍼콤보 오리진L	105
